.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
omn_1_r1_trim	1	1	1	0.5	0.5	1	0.5	1	1	1
omn_1_r2_trim	1	1	1	0.5	0.5	1	0.5	1	1	1
omn_2_r1_trim	1	1	1	0.5	0.5	1	0.5	0.5	1	1
omn_2_r2_trim	1	1	1	0.5	0.5	1	0.5	1	1	1
omn_3_r1_trim	1	1	1	0.5	1	1	0.5	1	1	1
omn_3_r2_trim	1	1	1	0.5	1	1	0.5	1	1	1
omn_4_r1_trim	1	1	1	0.5	0.25	1	0.5	1	1	1
omn_4_r2_trim	1	1	1	0.5	0.25	1	0.5	1	1	1
omn_5_r1_trim	1	1	1	0.5	1	1	0.5	1	1	1
omn_5_r2_trim	1	1	1	0.5	1	1	0.5	1	1	1
veg_1_r1_trim	1	1	1	0.5	0.5	1	0.5	1	1	1
veg_1_r2_trim	1	1	1	0.5	0.5	1	0.5	1	1	1
veg_2_r1_trim	1	1	1	0.5	1	1	0.5	1	1	1
veg_2_r2_trim	1	1	1	0.5	1	1	0.5	1	1	1
veg_3_r1_trim	1	1	1	0.5	0.5	1	0.5	1	1	1
veg_3_r2_trim	1	1	1	0.5	0.5	1	0.5	1	1	1
veg_4_r1_trim	1	1	1	0.5	0.25	1	0.5	0.5	1	1
veg_4_r2_trim	1	1	1	0.5	0.25	1	0.5	1	1	1
veg_5_r1_trim	1	1	1	0.5	0.5	1	0.5	1	1	1
veg_5_r2_trim	1	1	1	0.5	0.5	1	0.5	1	1	1
